episode: 6000/1000000, reward: 0.0, epsilon: 0.55, max reward: 9.0, mean past 100 rewards: 1.05
episode: 6100/1000000, reward: 2.0, epsilon: 0.54, max reward: 10.0, mean past 100 rewards: 1.72
episode: 6200/1000000, reward: 0.0, epsilon: 0.54, max reward: 10.0, mean past 100 rewards: 1.19
episode: 6300/1000000, reward: 0.0, epsilon: 0.53, max reward: 10.0, mean past 100 rewards: 0.9
episode: 6400/1000000, reward: 2.0, epsilon: 0.53, max reward: 10.0, mean past 100 rewards: 0.74
episode: 6500/1000000, reward: 0.0, epsilon: 0.52, max reward: 10.0, mean past 100 rewards: 1.2
episode: 6600/1000000, reward: 0.0, epsilon: 0.52, max reward: 10.0, mean past 100 rewards: 1.0
episode: 6700/1000000, reward: 0.0, epsilon: 0.51, max reward: 10.0, mean past 100 rewards: 1.39
episode: 6800/1000000, reward: 0.0, epsilon: 0.51, max reward: 10.0, mean past 100 rewards: 1.33
episode: 6900/1000000, reward: 1.0, epsilon: 0.5, max reward: 10.0, mean past 100 rewards: 0.7
episode: 7000/1000000, reward: 2.0, epsilon: 0.5, max reward: 10.0, mean past 100 rewards: 0.96
episode: 7100/1000000, reward: 0.0, epsilon: 0.49, max reward: 10.0, mean past 100 rewards: 0.68
episode: 7200/1000000, reward: 0.0, epsilon: 0.49, max reward: 10.0, mean past 100 rewards: 0.51
episode: 7300/1000000, reward: 0.0, epsilon: 0.48, max reward: 10.0, mean past 100 rewards: 0.6
episode: 7400/1000000, reward: 0.0, epsilon: 0.48, max reward: 10.0, mean past 100 rewards: 0.5
episode: 7500/1000000, reward: 0.0, epsilon: 0.47, max reward: 10.0, mean past 100 rewards: 0.82
episode: 7600/1000000, reward: 0.0, epsilon: 0.47, max reward: 10.0, mean past 100 rewards: 0.97
episode: 7700/1000000, reward: 1.0, epsilon: 0.46, max reward: 10.0, mean past 100 rewards: 0.72
episode: 7800/1000000, reward: 0.0, epsilon: 0.46, max reward: 10.0, mean past 100 rewards: 0.94
episode: 7900/1000000, reward: 0.0, epsilon: 0.45, max reward: 10.0, mean past 100 rewards: 0.65
episode: 8000/1000000, reward: 1.0, epsilon: 0.45, max reward: 10.0, mean past 100 rewards: 0.69
episode: 8100/1000000, reward: 0.0, epsilon: 0.44, max reward: 10.0, mean past 100 rewards: 0.9
episode: 8200/1000000, reward: 0.0, epsilon: 0.44, max reward: 10.0, mean past 100 rewards: 1.16
episode: 8300/1000000, reward: 0.0, epsilon: 0.44, max reward: 10.0, mean past 100 rewards: 0.68
episode: 8400/1000000, reward: 0.0, epsilon: 0.43, max reward: 10.0, mean past 100 rewards: 0.82
episode: 8500/1000000, reward: 0.0, epsilon: 0.43, max reward: 10.0, mean past 100 rewards: 0.54
episode: 8600/1000000, reward: 0.0, epsilon: 0.42, max reward: 10.0, mean past 100 rewards: 0.64
episode: 8700/1000000, reward: 0.0, epsilon: 0.42, max reward: 10.0, mean past 100 rewards: 0.62
episode: 8800/1000000, reward: 0.0, epsilon: 0.41, max reward: 10.0, mean past 100 rewards: 0.54
